userid,content,star_rating,time
rmfl****,좋아요 ㅋㅋ ㅋㅋㅋ ㅋㅋㅋ,5,2023-05-06T05:59:53.816+00:00
ss****,겨울에 쓰려고 미리 주문했어요  예뻐요,5,2023-04-12T04:43:38.026+00:00
paks********,가성비좋구요. 빠른배송 좋았어요,5,2023-04-29T05:52:41.255+00:00
ss****,넘 깔끔하고 예뻐요 사이즈도 커서 좋아요.,5,2023-04-12T04:42:39.507+00:00
mega***,젛아요 좋아요 굿굿굿,5,2023-05-03T10:19:43.102+00:00
ss****,좋아요 잘 껴져요. 추천합니다.,4,2023-04-12T04:45:53.868+00:00
ange*****,왜 진작에 안샀을까 후회되네요,5,2023-05-01T20:34:22.636+00:00
phm3***,가성비 최고 아주 유용하게 사용중입니다,5,2023-04-28T09:03:13.632+00:00
cynt*******,가볍고 물용량 커서 좋아요! 책상위에 두고 물 마시기 좋고   물도 많이 마시게 되서 좋아요!,5,2023-03-27T13:26:34.461+00:00
so****,1년전에 사고 또 재구매하네요 쏠쏠합니다 ㅋㅋ,5,2023-04-05T00:36:08.061+00:00
popo****,배송 잘 왔구요 아이스음료 마실땐 큰겁이 필요해서 물론 커피도 좋아하구요 ㅎ 두루두루 많이 사용할거 같아요,4,2023-03-21T09:36:45.674+00:00
them****,원하던 디자인이예요~~~ 스타벅스 텀블러가 집에 3개나 있는데 또 2개 주문하네요ㅜㅜㅋ  정품 빨대도 추가주문했어요~,5,2023-03-24T14:29:33.911+00:00
gksk******,부담없이 사용할수있는 재질이라 맘에드네요 가볍고 잘 사용할꺼 같네요,5,2023-03-24T10:36:01.461+00:00
ange*****,아직 사용전이지만 좋을거 같아요,5,2023-04-01T11:37:00.757+00:00
them****,원하던 디자인이예요~~~ 스타벅스 텀블러가 집에 3개나 있는데 또 2개 주문하네요ㅜㅜㅋ,5,2023-03-24T14:28:59.203+00:00
all0*****,좋아요 배송 제품 만족합니다,5,2023-04-13T14:34:26.988+00:00
all0*****,좋아요 배송 제품 만족합니다,5,2023-04-13T14:34:00.796+00:00
ldj0***,지금세번째써고잇어요 부주의로 깨어먹지만 않음 완전좋아요,3,2023-04-09T03:00:28.866+00:00
by****,가장 인기 많길래 샀어요,5,2023-04-19T00:18:13.352+00:00
a9****,가볍워서 들고다니기 편해요,5,2023-03-22T11:07:59.141+00:00
whdm******,답례품으로 주문했는데 확실히 찍힌것도 있고 긁혀져 나온것도 있고 지워진 부분도 있네요 허접해 보일까봐 좀 걱정되긴하는데 잘들 쓰셨으면 좋겠네요,4,2023-03-26T15:08:08.517+00:00
koss****,컵이 너무 좋고 쓰기 좋아요,5,2023-03-19T02:33:34.586+00:00
koss****,컵이 너무 좋고 쓰기 좋아요,5,2023-03-19T02:33:06.747+00:00
ea****,배송 빠르고 좋아요,5,2023-03-21T10:59:02.595+00:00
mylo****,이뻐요~ 가볍고 사용하기 편하네요~ 잘쓸게요,5,2023-03-06T03:40:07.182+00:00
kkll******,배송빨라서 좋네요 또구매하러올게요,5,2023-03-16T05:28:36.177+00:00
lmi0***,완전완전 맘에 들어요 배송도 너무빨라 깜놀 가볍고 이뻐요,5,2023-03-08T05:09:54.129+00:00
dltm****,가볍고 심플하고 좋음,4,2023-03-15T15:35:00.511+00:00
tjsd*****,감사합니닷 마음에 들어요,5,2023-03-13T03:38:01.266+00:00
hell********,나무이쁘고 잘샀어요 배송은 좀 느렸지만 빨때 추가할걸..ㅠ,5,2023-03-02T07:48:33.766+00:00
gpal******,사진이랑똑같아여 맘에들어여,5,2023-03-31T10:36:17.166+00:00
gpal******,사진이랑똑같아여 맘에들어여,5,2023-03-31T10:36:08.543+00:00
feyi************,다른 곳보다 몇 십원 비싼데 빨대 청소용 솔도 주시길래 여기서 샀어요 ㅎㅎ 가방에 넣지는 못하지만 걸어다닐 때나 집에서 마시기 편하고 뜨거운 건 절대 안 먹어서 아이스 용으로 쓰려고 샀어용 이쁘고 좋네요 은근 튼튼해요!,5,2023-03-02T18:33:42.032+00:00
aa****,너무 예쁘고 좋아요,5,2023-03-08T23:28:24.564+00:00
sool*****,선물 받아서 잘 쓰고 있습니다!! 슬리브가 특히 맘에 들어요,5,2023-02-19T07:03:35.504+00:00
gkst******,무난하게 사용하기 딱이에요~ 만족합니다.,5,2023-02-25T05:49:14.329+00:00
